customer_id,country,first_purchase,last_purchase,n_orders,total_spent,avg_basket,recency_days,tenure_days
46995,United Kingdom,2011-08-09 12:20:00,2011-11-16 12:20:00,2.28,57.34,26.44,23.83,99.17
22869,United Kingdom,2010-01-11 12:20:00,2011-10-30 12:20:00,46.53,19463.52,356.65,40.92,657.12
12593,France,2011-05-05 09:29:00,2011-05-05 09:29:00,1.0,39.5,39.5,218.0,218.0
52931,United Kingdom,2009-08-29 12:20:00,2010-11-04 12:20:00,2.0,47.8,23.18,400.35,432.64
62940,United Kingdom,2011-03-23 12:20:00,2011-11-30 12:20:00,3.05,20.78,9.03,9.09,252.42
17435,United Kingdom,2010-10-24 13:55:00,2010-10-24 13:55:00,1.0,16.35,16.35,410.0,410.0
50400,United Kingdom,2011-06-04 12:20:00,2011-11-04 12:20:00,1.79,33.6,13.23,35.5,153.21
56548,United Kingdom,2008-12-06 12:20:00,2010-12-06 12:20:00,10.93,764.15,61.71,368.04,730.54
52137,United Kingdom,2009-08-21 12:20:00,2011-09-01 12:20:00,6.27,159.24,24.73,99.23,741.3
19630,United Kingdom,2009-09-20 12:20:00,2011-11-24 12:20:00,10.27,1364.96,129.03,15.91,795.97
14116,United Kingdom,2011-08-10 12:44:00,2011-09-08 09:51:00,2.0,142.23,71.115,92.0,120.0
28619,United Kingdom,2009-03-31 12:20:00,2011-04-22 12:20:00,9.06,12940.36,1425.13,231.81,752.66
19555,United Kingdom,2009-09-16 12:20:00,2011-12-05 12:20:00,16.32,789.52,45.41,4.57,810.47
13395,United Kingdom,2010-10-14 13:00:00,2011-06-07 15:04:00,3.0,23.94,7.979999999999999,184.0,420.0
28560,United Kingdom,2009-08-27 12:20:00,2011-07-03 12:20:00,10.02,992.4,117.28,159.72,675.29
26908,United Kingdom,2007-12-19 12:20:00,2010-03-20 12:20:00,0.92,33.29,32.56,629.84,822.36
39939,United Kingdom,2010-01-03 12:20:00,2011-01-06 12:20:00,0.87,33.55,33.35,337.96,368.61
43630,United Kingdom,2008-10-26 12:20:00,2010-06-18 12:20:00,2.21,96.52,46.38,539.97,600.15
50679,United Kingdom,2011-02-11 12:20:00,2011-10-23 12:20:00,3.35,70.22,20.96,47.76,254.94
46551,United Kingdom,2009-10-15 12:20:00,2010-12-12 12:20:00,2.19,230.05,118.5,362.69,423.03
49922,Switzerland,2009-10-21 12:20:00,2011-10-17 12:20:00,4.45,767.35,170.54,53.35,726.69
37590,United Kingdom,2010-07-10 12:20:00,2011-11-28 12:20:00,4.2,147.75,32.83,11.48,506.67
18945,United Kingdom,2009-12-12 12:20:00,2011-12-09 12:20:00,14.19,994.72,71.94,0.0,727.17
17160,United Kingdom,2009-12-04 10:57:00,2011-08-22 13:32:00,15.0,575.83,38.38866666666667,108.0,735.0
51920,United Kingdom,2009-04-14 12:20:00,2010-11-28 12:20:00,4.99,68.86,13.81,376.8,593.87
34565,United Kingdom,2010-11-26 12:20:00,2011-11-27 12:20:00,5.39,153.57,32.65,12.51,366.12
63159,United Kingdom,2008-10-06 12:20:00,2010-06-29 12:20:00,9.24,227.39,25.18,528.9,631.22
61051,United Kingdom,2010-05-23 12:20:00,2011-06-23 12:20:00,1.77,17.19,8.76,169.78,396.23
35504,United Kingdom,2009-03-14 12:20:00,2010-12-02 12:20:00,1.96,127.93,67.44,372.17,628.98
22855,United Kingdom,2009-11-24 12:20:00,2011-10-05 12:20:00,8.01,534.57,57.6,65.55,680.19
51782,United Kingdom,2009-04-12 12:20:00,2010-11-04 12:20:00,5.53,77.05,12.14,400.72,571.27
54694,United Kingdom,2009-11-03 12:20:00,2010-11-25 12:20:00,0.91,126.67,101.1,379.39,387.4
28086,United Kingdom,2009-10-16 12:20:00,2011-08-28 12:20:00,5.72,201.91,26.15,103.22,681.19
39777,United Kingdom,2009-07-25 12:20:00,2010-10-07 12:20:00,0.9,39.87,37.91,428.9,439.69
41544,United Kingdom,2009-07-30 12:20:00,2010-12-15 12:20:00,1.83,48.35,30.9,359.83,503.96
53927,United Kingdom,2008-11-04 12:20:00,2010-08-16 12:20:00,2.97,278.47,78.02,480.97,650.18
